Date,Price,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time
2023-03-17,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-17', 'Price': 11.95}"
2023-03-18,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-18', 'Price': 11.95}"
2023-03-19,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-19', 'Price': 11.95}"
2023-03-20,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-20', 'Price': 11.95}"
2023-03-21,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-21', 'Price': 11.95}"
2023-03-22,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-22', 'Price': 11.95}"
2023-03-23,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-23', 'Price': 11.95}"
2023-03-24,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-24', 'Price': 11.95}"
2023-03-25,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-25', 'Price': 11.95}"
2023-03-26,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-26', 'Price': 11.95}"
2023-03-27,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-27', 'Price': 11.95}"
2023-03-28,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-28', 'Price': 11.95}"
2023-03-29,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-29', 'Price': 11.95}"
2023-03-30,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-30', 'Price': 11.95}"
2023-03-31,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-03-31', 'Price': 11.95}"
2023-04-01,11.95,My Muscle Chef Satay Chicken 300g,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/mus-chef-stay-chicken,"{'Date': '2023-04-01', 'Price': 11.95}"
2023-03-01,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-01', 'Price': 20.99}"
2023-03-02,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-02', 'Price': 20.99}"
2023-03-03,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-03', 'Price': 20.99}"
2023-03-04,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-04', 'Price': 20.99}"
2023-03-05,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-05', 'Price': 20.99}"
2023-03-06,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-06', 'Price': 20.99}"
