products
PnP UHT Full Cream Milk 1l x 6
Sasko Premium Sliced Brown Bread 700g
Jacobs Kronung Instant Coffee 200g
PnP Chicken Viennas 1kg
PnP Avocado 4 Pack
PnP English Tomatoes 1kg
PnP Carrots 1kg
No Name Potatoes 7kg
Danone Nutriday Low Fat Smooth Vanilla Dairy Snack 6s
Flora Light 40% Fat Spread 500g
Powerade Jagged Ice Sports Drink 500ml x 6
Liqui-Fruit Clear Apple Fruit Juice Blend 1l
Coca-Cola 1l
Tastic Rice 2kg
PnP Large Eggs 30s
Sunfoil Sunflower Oil 2l
Freshpak Rooibos Tagless Tea Bags 80s
PnP Chocolate Brownie Ice Cream 2l
Kellogg's Corn Flakes 750g
Koo Baked Beans in Tomato Sauce 410g
Dettol Soap Cooling 175g
Johnson's Baby Soap 175g
Fatti's & Moni's Pasta Screws 500g
Aquafresh Big Teeth Paste 50ml
Kiwi Paste Shoe Polish Black 50ml
Head & Shoulders Shampoo Sooth Care 400ml
Vaseline Intensive Care Aloe Soothing Body Lotion for Dry Skin 400ml
Serena Linguine Pasta 500g
Colgate Herbal Toothpaste 100ml
Colgate Max White Toothpaste 75ml
"Colgate Herbal White, Whitening Toothpaste 100ml"
Colgate Active Salt Antigerm Toothpaste 75ml
Twinsaver Facial Tissue White 180s
Twinsaver Facial Tissue Summer 120ea
Duracell Plus 9V Batteries 1 Pack
Domestos Lavender Multipurpose Stain Removal Thick Bleach Cleaner 750ml
Nestle Nido 3+ Pre-School Milk Honey 900g
Fry's Traditional-Style Burger 320g
Pineware Steam & Spray Iron Psi60
Top One Corned Meat 300g
Deep Heat Ointment Rub 75g
PnP English Cucumber
PnP Baby Marrows 350g
PnP Onions 1kg
PnP Seedless Red Grapes 500g
PnP Sweet Potatoes 2kg
PnP Sweetcorn 4s
PnP Garlic in Netting
PnP Bananas Box 1.2kg
PnP Breakfast Papaya
PnP Robot Pepper 3s
PnP Golden Delicious Apples 1.5kg
PnP All Purpose Potatoes 2kg
PnP Potatoes Soft Cooking 2kg
Crosse & Blackwell Salad Cream 790g
PnP Swiss Chard Spinach 300g
PnP Kiwi Fruit 4s
PnP Oranges 2kg
PnP Ripe & Ready Avocado 2s
PnP Four Seasons Salad 200g
PnP Brussel Sprouts 300g
PnP Mini Plum Tomatoes 250g
PnP Coleslaw 300g
PnP Lemons
PnP Cut Broccoli 300g
PnP Oranges Bag 2.5kg
PnP Litchi 500g
PnP Cos Lettuce Head
Koo Beetroot Sliced 405g
PnP Cabbage
PnP Gem Lettuce Heads
PnP Summer Crisp Lettuce 150g
PnP Cherry Tomatoes 500g
PnP Pineapples Punnet
Knorr Creamy Sweet Chilli Salad Dressing 340ml
Koo Grated & Spiced Beetroot 780g
PnP Peeled Baby Carrots 400g
Knorr Creamy Blue Cheese Salad Dressing 340ml
PnP Oranges
PnP Crisp Lettuce Head
PnP Diced Pumpkin 500g
Ina Paarman's Sundried Tomato Quarters 240g
Knorr Creamy Ranch Salad Dressing 340ml
Werda Sweet & Sour Beetroot 405g
Knorr Creamy 1000 Island Salad Dressing 340ml
PnP Grated Beetroot 400g
PnP Grated Beetroot 780g
PnP Spinach Stir Fry 400g
Knorr Creamy Greek Salad Dressing 340ml
Knorr Light Greek Salad Dressing 340ml
Knorr Vinaigrette Italian Salad Dressing 340ml
Knorr Creamy Garlic & Herb Salad Dressing 340ml
Knorr Vinaigrette French Salad Dressing 340ml
Knorr Vinaigrette Greek Salad Dressing 340ml
Knorr Light Italian Salad Dressing 340ml
I&J Beefers Beef Patties 800g
PnP Live Well Whole Green Peas 1kg
Sea Harvest Fish Fingers 400g
PnP Frozen Butternut & Sweet Potato Chunks 1kg
Sea Harvest Country Fry Traditional 400g
I&J Golden Smackeroos 800g
Mama's Sausage Rolls 6s
Ital Happy Days Pizza Bases with Tomato Sauce 4s
Today Mini Cheese Rolls 40s
I&J Haddock in Mornay Sauce 200g
Dairymaid Country Fresh Vanilla Ice Cream 5l
Ital Pizza Classic Hawaiian 305g
PnP Phyllo Pastry 500g
No Name Frozen Chicken Liver 500g
Natures Garden Garden Peas 1kg
PnP Roasting Vegetable Mix 1kg
I&J Fish in Cheese Sauce 200g
County Fair Garlic Chicken Steaklet 400g
I&J Frozen Chicken Burgers 400g
PnP Short Pastry 400g
Mama's Pepper Steak Pies 6s
Natures Garden Broccoli Florets 1kg
Sea Harvest Traditional Fish Cakes 600g
I&J Original Fish Fingers 2kg
I&J Deep Water Hake Fillets 800g
PnP Live Well Sweetcorn 1kg
I&J Light & Crispy Lemon Hake 500g
